Year,Soybeans,Phosphate rock,Sunflower oil,Wheat
,,,,
1960-01-01,91.83333333333,13.0,,
1961-01-01,109.33333333333,13.0,,
1962-01-01,100.54,11.5,,
1963-01-01,110.09333333333,11.5,,
1964-01-01,110.50583333333,12.5,,
1965-01-01,116.86833333333,14.0,,
1966-01-01,125.6625,13.0,,
1967-01-01,114.725,12.0,,
1968-01-01,110.80083333333,11.5,,
1969-01-01,106.74666666667,11.25,,
1970-01-01,116.91666666667,11.0,,
1971-01-01,125.58333333333,11.25,,
1972-01-01,140.0,11.5,,
1973-01-01,290.33333333333,13.75,,
1974-01-01,276.91666666667,54.52083333333,,
1975-01-01,219.91666666667,67.16666666667,,
1976-01-01,231.16666666667,35.83333333333,,
1977-01-01,280.16666666667,61.7875,,
1978-01-01,268.33333333333,31.28125,,
1979-01-01,297.75,35.47916666667,,
1980-01-01,296.22916666667,44.66666666667,,
1981-01-01,288.41666666667,48.95833333333,,
1982-01-01,244.60416666667,42.96041666667,,
1983-01-01,281.5875,39.80208333333,,
1984-01-01,282.08333333333,33.06666666667,,
1985-01-01,224.41666666667,36.0,,
1986-01-01,208.41666666667,36.0,,
1987-01-01,215.75,34.14583333333,,
1988-01-01,303.5,31.6,,
1989-01-01,275.0,31.0,,
1990-01-01,246.75,31.29166666667,,96.48148148148148
1991-01-01,239.58333333333,31.5,,150.0925925925926
1992-01-01,235.5,31.5,,131.11111111111111
1993-01-01,255.08333333333,31.5,,139.62962962962962
1994-01-01,251.83333333333,31.83333333333,,148.33333333333334
1995-01-01,259.25,32.66666666667,,189.62962962962965
1996-01-01,304.83333333333,33.03333333333,,141.11111111111111
1997-01-01,295.41666666667,32.5,,121.11111111111111
1998-01-01,243.25,32.5,,102.40740740740742
1999-01-01,201.66666666667,42.80208333333,,92.22222222222223
2000-01-01,211.83333333333,44.0,,103.14814814814815
2001-01-01,195.83333333333,44.0,,107.59259259259258
2002-01-01,212.66666666667,44.0,,120.64814814814814
2003-01-01,264.0,44.0,660.0,139.8148148148148
2004-01-01,306.5,44.0,724.0,113.8888888888889
2005-01-01,274.6875,44.0,602.0,125.92592592592592
2006-01-01,268.64583333333,44.0,730.0,184.44444444444446
2007-01-01,383.10333333333,52.02083333333,1469.0,330.5555555555556
2008-01-01,521.87,242.73958333333,759.0,224.53703703703704
2009-01-01,423.6225,222.75,986.0,200.27777777777777
2010-01-01,447.10166666667,105.3125,1454.0,293.7518518518519
2011-01-01,537.51916666667,163.55208333333,1439.77,241.9
2012-01-01,595.5075,184.92708333333,1271.9,291.43703703703704
2013-01-01,551.38916666667,126.32291666667,996.0,224.12222222222223
2014-01-01,484.8575,110.45833333333,900.95,218.2888888888889
2015-01-01,392.1225,120.31458333333,898.18,175.0
2016-01-01,405.4475,110.45625,873.0,151.25185185185185
2017-01-01,393.37811183333,89.6875,800.76,159.07407407407408
2018-01-01,394.42416666667,87.9,703.0,186.34074074074076
2019-01-01,368.94666666667,87.95833333333,776.0,207.22222222222223
2020-01-01,406.63984166467,76.05166666667,1170.02032520325,237.6851851851852
2021-01-01,583.3225,123.21333333333,1361.83096205962,285.7851851851852
2022-01-01,675.395,266.15666666667,1233.8,293.3333333333333
2023-01-01,597.89833333333,321.65909090909093,944.03,237.03703703703707
